P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","",91073-68485:Ryan Yarbrough,91073-68485,P,Ryan,Ryan Yarbrough,Yarbrough,7.3,11,6000,KC@MIA,KC,MIA,IL,Head,,,0,P
"","","","","","","","","","",91073-79123:Tyler Alexander,91073-79123,P,Tyler,Tyler Alexander,Alexander,6,17,5900,DET@PHI,DET,PHI,,,,,0,P
"","","","","","","","","","",91073-79270:Cole Ragans,91073-79270,P,Cole,Cole Ragans,Ragans,7.2,15,5900,STL@TEX,TEX,STL,,,,,0,P
"","","","","","","","","","",91073-82603:Mitch White,91073-82603,P,Mitch,Mitch White,White,14.44,25,5800,HOU@TOR,TOR,HOU,IL,Shoulder,,,0,P
"","","","","","","","","","",91073-68536:James Kaprielian,91073-68536,P,James,James Kaprielian,Kaprielian,12.9,10,5800,OAK@PIT,OAK,PIT,,,,,0,P
"","","","","","","","","","",91073-68555:Brent Honeywell,91073-68555,P,Brent,Brent Honeywell,Honeywell,7.045454545454546,22,5800,CHC@SD,SD,CHC,,,,,,P
"","","","","","","","","","",91073-55374:Drew Rucinski,91073-55374,P,Drew,Drew Rucinski,Rucinski,4.5,4,5700,OAK@PIT,OAK,PIT,IL,Illness,,,0,P
"","","","","","","","","","",91073-38146:Sean Nolin,91073-38146,P,Sean,Sean Nolin,Nolin,-3,1,5700,KC@MIA,MIA,KC,,,,,0,P
"","","","","","","","","","",91073-164530:Caleb Kilian,91073-164530,P,Caleb,Caleb Kilian,Kilian,1,1,5700,CHC@SD,CHC,SD,,,,,,P
"","","","","","","","","","",91073-37014:Hyun Jin Ryu,91073-37014,P,Hyun Jin,Hyun Jin Ryu,Ryu,15.666666666666666,6,5600,HOU@TOR,TOR,HOU,IL,Elbow,,,0,P
"","","","","","","","","","",91073-171453:Max Castillo,91073-171453,P,Max,Max Castillo,Castillo,11.25,4,5600,KC@MIA,KC,MIA,,,,,0,P
"","","","","","","","","","",91073-118216:Tyson Miller,91073-118216,P,Tyson,Tyson Miller,Miller,5,4,5600,MIL@CIN,MIL,CIN,,,,,,P
